species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
European Goldfinch,vagrant,irregular,0.0015,0.0,0.0,3,1,winter,No,low_peak_frequency
Pine Siskin,single-season,winter,0.056486,0.0,0.0,41,1,summer,Yes,overwintering
American Goldfinch,resident,year-round,0.695616,0.212598,0.3056,48,0,,No,seasonal_variation
Lapland Longspur,single-season,winter,0.021039,0.0,0.0,29,1,summer,Yes,overwintering
Snow Bunting,single-season,winter,0.050302,0.0,0.0,22,1,summer,Yes,overwintering
Grasshopper Sparrow,single-season,summer,0.017011,0.0,0.0,16,1,winter,No,
Chipping Sparrow,single-season,summer,0.269002,0.000952,0.0035,48,1,winter,No,
Clay-colored Sparrow,single-season,summer,0.011113,0.0,0.0,20,1,winter,No,
Field Sparrow,single-season,summer,0.146647,0.000536,0.0037,48,1,winter,No,
Lark Sparrow,vagrant,irregular,0.0015,0.0,0.0,2,1,winter,No,low_peak_frequency
American Tree Sparrow,single-season,winter,0.307847,0.0,0.0,30,1,summer,Yes,overwintering
Fox Sparrow,two-passage-migrant,two-passage,0.069545,0.0,0.0,32,2,winter|summer,Yes,classic_bimodal
Dark-eyed Junco,single-season,winter,0.511749,0.0,0.0,36,1,summer,Yes,overwintering
White-crowned Sparrow,two-passage-migrant,two-passage,0.127637,0.0,0.0,34,2,summer|winter,Yes,classic_bimodal
Harris's Sparrow,vagrant,irregular,0.005382,0.0,0.0,7,1,winter,No,
White-throated Sparrow,single-season,winter,0.381974,0.0,0.0,38,1,summer,Yes,overwintering
Dark-eyed Junco x White-throated Sparrow (hybrid),vagrant,irregular,0.000435,0.0,0.0,1,1,winter,No,low_peak_frequency
Vesper Sparrow,single-season,summer,0.012525,0.0,0.0,30,1,winter,No,
LeConte's Sparrow,vagrant,irregular,0.00349,0.0,0.0,1,1,winter,No,low_peak_frequency
Nelson's Sparrow,vagrant,irregular,0.005193,0.0,0.0,5,1,winter,No,
Savannah Sparrow,two-passage-migrant,two-passage,0.076873,0.0,0.0,43,2,summer|winter,No,classic_bimodal
Henslow's Sparrow,single-season,summer,0.024374,0.0,0.0,19,1,winter,No,
Song Sparrow,single-season,summer,0.570377,0.056541,0.0991,48,1,winter,No,
Lincoln's Sparrow,two-passage-migrant,two-passage,0.048201,0.0,0.0,17,2,summer|winter,No,classic_bimodal
Swamp Sparrow,single-season,summer,0.105828,0.000341,0.0032,48,1,winter,No,
Eastern Towhee,single-season,summer,0.119734,0.0,0.0,47,1,winter,No,
Yellow-breasted Chat,single-season,summer,0.011054,0.0,0.0,13,1,winter,No,low_presence
Yellow-headed Blackbird,vagrant,irregular,0.0015,0.0,0.0,5,1,winter,No,low_peak_frequency
Bobolink,single-season,summer,0.055157,0.0,0.0,24,1,winter,No,
Western Meadowlark,vagrant,irregular,0.00298,0.0,0.0,12,1,winter,No,low_peak_frequency|low_presence
Eastern Meadowlark,single-season,summer,0.079045,0.0,0.0,40,1,winter,No,
Orchard Oriole,single-season,summer,0.062682,0.0,0.0,18,1,winter,No,
Hooded Oriole,vagrant,irregular,0.007032,0.0,0.0,1,1,winter,No,
Baltimore Oriole,single-season,summer,0.56171,0.0,0.0,26,1,winter,No,
Red-winged Blackbird,single-season,summer,0.740763,0.004359,0.0059,48,1,winter,No,
Brown-headed Cowbird,single-season,summer,0.41902,0.005278,0.0126,48,1,winter,No,
Rusty Blackbird,two-passage-migrant,two-passage,0.044525,0.0,0.0,32,2,summer|winter,No,classic_bimodal
Brewer's Blackbird,vagrant,irregular,0.0015,0.0,0.0,9,1,winter,No,low_peak_frequency
Common Grackle,single-season,summer,0.463719,0.002375,0.0051,48,1,winter,No,
Ovenbird,two-passage-migrant,two-passage,0.093132,0.0,0.0,33,2,summer|winter,No,classic_bimodal
Worm-eating Warbler,vagrant,irregular,0.003015,0.0,0.0,7,1,winter,No,low_peak_frequency
Louisiana Waterthrush,single-season,summer,0.006447,0.0,0.0,15,1,winter,No,
Northern Waterthrush,single-season,summer,0.053748,0.0,0.0,23,1,winter,No,
Golden-winged Warbler,two-passage-migrant,two-passage,0.022175,0.0,0.0,14,2,summer|winter,No,classic_bimodal|low_presence
Blue-winged Warbler,two-passage-migrant,two-passage,0.073534,0.0,0.0,20,2,summer|winter,No,classic_bimodal
Golden-winged x Blue-winged Warbler (hybrid),vagrant,irregular,0.000924,0.0,0.0,6,1,winter,No,low_peak_frequency
Brewster's Warbler (hybrid),vagrant,irregular,0.001045,0.0,0.0,7,1,winter,No,low_peak_frequency
Lawrence's Warbler (hybrid),vagrant,irregular,0.0015,0.0,0.0,5,1,winter,No,low_peak_frequency
Black-and-white Warbler,two-passage-migrant,two-passage,0.159457,0.0,0.0,25,2,summer|winter,No,classic_bimodal
Prothonotary Warbler,single-season,summer,0.013481,0.0,0.0,19,1,winter,No,
Tennessee Warbler,two-passage-migrant,two-passage,0.196841,0.0,0.0,20,2,summer|winter,No,classic_bimodal
Orange-crowned Warbler,two-passage-migrant,two-passage,0.026742,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Nashville Warbler,two-passage-migrant,two-passage,0.207723,0.0,0.0,20,2,summer|winter,No,classic_bimodal
